"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN"
"C1,C2","0.1u","~","000_LOCAL:C_0805","2","","KGM21NR71H104JT"
"C3","1u","~","000_LOCAL:C_0805","1","","CL21B105KAFNNNE"
"J1,J5","PinSocket_02x20_P2.54mm_Vertical_tht","datasheets/DE0-Nano.pdf","000_LOCAL:PinSocket_2x20_P2.54mm_Polarized_Vertical","2","","SFH11-PBPC-D20-ST-BK"
"J2,J6","HD15F_horizontal_tht","datasheets/hdxx-sn-25.pdf","000_LOCAL:HD15-SN-25","2","","HD15-SN-25"
"J3","IDC-Header_2x05_P2.54mm_Horizontal_tht","datasheets/coco3.pdf","000_LOCAL:IDC-Header_2x05_P2.54mm_Horizontal COCO3 KEYED","1","","302-R101"
"J4","RCA_horizontal_tht"," ~","000_LOCAL:RCA","1","","RCJ-014"
"J7","Conn_01x03_Male","~","000_LOCAL:PinHeader_1x03_P2.54mm_Horizontal","1","","PRPC003SBAN-M71RC"
"R1,R4,R7","390","~","000_LOCAL:R_0805","3","","ERA-6AEB391V"
"R2,R5,R8","820","~","000_LOCAL:R_0805","3","","ERA-6AEB821V"
"R3,R6,R26","1.8K","~","000_LOCAL:R_0805","3","","ERA-6AEB182V"
"R9,R10","47","~","000_LOCAL:R_0805","2","","ERA-6AEB470V"
"R11,R12,R14,R17","2K","~","000_LOCAL:R_0805","4","","ERA-6AEB202V"
"R13","680K","~","000_LOCAL:R_0805","1","","ERA-6AEB684V"
"R15,R16,R27,R28","1K","~","000_LOCAL:R_0805","4","","ERA-6AEB102V"
"R18,R21","6.8K","~","000_LOCAL:R_0805","2","","ERA-6AEB682V"
"R19,R20","1.2K","~","000_LOCAL:R_0805","2","","ERA-6AEB122V"
"R22,R23,R25","82","~","000_LOCAL:R_0805","3","","ERA-6AEB820V"
"R24","10K","datasheets/3006.pdf","000_LOCAL:Potentiometer_Bourns_3006P_Horizontal","1","","3006P-1-103LF"
"SW1","SW_DIP_x10","datasheets/ds04-254-smt.pdf","000_LOCAL:SW_DIP_SPSTx10_Slide_6.7_8.61_P2.54_LowProfile","1","","DS04-254-2-10BK-SMT"
"SW2","SW_DP3T","datasheets/cl-sb.pdf","000_LOCAL:SW_DP3T_CK_JS203011JAQN","1","","CL-SB-23A-11T"
"U1","LM1881","datasheets/LM1881.pdf","000_LOCAL:SOIC-8_4x5","1","","LM1881MX/NOPB"
"C4","510p","~","000_LOCAL:C_0805","1","DNP","C0805C511F3HAC7800"
"R29","620","~","000_LOCAL:R_0805","1","DNP","ERA-6AEB621V"
